episode,timestep,reward
19,2000,-32.6824
39,4000,-33.7168
59,6000,-39.0829
79,8000,-34.4924
99,10000,-33.6127
119,12000,-34.2801
139,14000,-32.7196
159,16000,-32.4818
180,18000,-31.9716
200,20000,-32.5844
220,22000,-33.3824
240,24000,-31.049
260,26000,-29.381
280,28000,-29.364
300,30000,-32.2286
320,32000,-31.6566
340,34000,-33.3535
360,36000,-30.1165
380,38000,-29.9429
400,40000,-30.1122
420,42000,-32.1915
440,44000,-29.7428
460,46000,-33.0793
480,48000,-32.4387
500,50000,-30.3624
520,52000,-29.5349
540,54000,-29.7033
560,56000,-25.9081
580,58000,-30.7699
600,60000,-31.234
620,62000,-28.5785
640,64000,-29.792
660,66000,-27.5339
680,68000,-25.7753
701,70000,-31.8663
721,72000,-30.5988
741,74000,-30.1697
761,76000,-31.2178
781,78000,-27.1839
801,80000,-33.9499
821,82000,-26.4729
842,84000,-27.4328
862,86000,-28.6559
882,88000,-28.1736
902,90000,-27.8661
922,92000,-28.1855
942,94000,-27.4962
962,96000,-29.9354
982,98000,-28.4125
1002,100000,-28.0093
1022,102000,-28.9694
1042,104000,-30.3221
1062,106000,-27.147
1082,108000,-30.4343
1102,110000,-30.128
1122,112000,-28.2074
1142,114000,-29.3024
1162,116000,-27.4236
1182,118000,-25.7012
1202,120000,-25.0059
1222,122000,-30.8914
1242,124000,-32.1867
1263,126000,-27.5361
1283,128000,-27.4133
1303,130000,-28.5268
1323,132000,-27.8017
1343,134000,-26.2883
1363,136000,-24.8092
1383,138000,-23.9916
1403,140000,-27.0029
1423,142000,-27.4436
1443,144000,-27.8162
1463,146000,-26.3933
1483,148000,-26.3305
1503,150000,-27.3938
1523,152000,-25.9419
1544,154000,-27.3814
1564,156000,-27.0284
1584,158000,-28.5121
1604,160000,-25.1533
1624,162000,-26.2307
1644,164000,-26.0885
1664,166000,-27.7352
1684,168000,-24.54
1704,170000,-26.1223
1724,172000,-28.064
1744,174000,-26.4061
1765,176000,-28.8879
1785,178000,-25.8805
1805,180000,-28.0645
1826,182000,-28.6517
1846,184000,-25.3152
1866,186000,-26.1499
1886,188000,-26.0397
1906,190000,-25.8209
1926,192000,-25.2794
1946,194000,-27.4832
1966,196000,-26.812
1986,198000,-27.3843
2006,200000,-25.9027
2026,202000,-28.3686
2046,204000,-26.9311
2066,206000,-24.3727
2087,208000,-27.1728
2107,210000,-27.2545
2127,212000,-25.7147
2147,214000,-26.1088
2167,216000,-25.9145
2188,218000,-26.3309
2208,220000,-26.9619
2228,222000,-24.0652
2248,224000,-29.8555
2268,226000,-25.8774
2288,228000,-25.5512
2308,230000,-27.9688
2328,232000,-25.0461
2348,234000,-27.0455
2368,236000,-27.9234
2388,238000,-23.316
2409,240000,-27.3758
2429,242000,-26.2423
2449,244000,-28.7341
2469,246000,-25.3939
2490,248000,-24.5066
2510,250000,-25.8418
2530,252000,-21.8628
2550,254000,-24.023
2570,256000,-23.3644
2590,258000,-22.2521
2610,260000,-21.3732
2631,262000,-20.849
2651,264000,-23.1143
2671,266000,-23.3092
2691,268000,-22.7368
2711,270000,-22.5931
2731,272000,-21.299
2752,274000,-21.607
2772,276000,-24.6816
2792,278000,-22.9555
2813,280000,-23.9011
2833,282000,-23.7885
2853,284000,-22.4365
2873,286000,-19.3408
2893,288000,-23.5764
2913,290000,-21.3243
2933,292000,-21.8259
2954,294000,-23.1251
2974,296000,-22.0554
2994,298000,-21.2713
3014,300000,-22.4101
3034,302000,-24.1198
3054,304000,-24.1198
3075,306000,-22.2007
3095,308000,-21.0979
3115,310000,-22.2131
3136,312000,-19.6839
3156,314000,-24.4586
3176,316000,-22.538
3196,318000,-22.4743
3216,320000,-21.7456
3236,322000,-21.7132
3256,324000,-22.2929
3277,326000,-21.8197
3297,328000,-22.8712
3317,330000,-21.1533
3337,332000,-22.0527
3357,334000,-23.6134
3378,336000,-21.1372
3398,338000,-22.8393
3418,340000,-21.2064
3438,342000,-20.9899
3458,344000,-24.6773
3478,346000,-21.3557
3498,348000,-23.0702
3518,350000,-21.2398
3538,352000,-21.8876
3558,354000,-22.0267
3578,356000,-21.517
3599,358000,-21.0366
3619,360000,-21.72
3639,362000,-24.8811
3659,364000,-23.0386
3679,366000,-24.096
3699,368000,-22.2196
3719,370000,-22.9493
3739,372000,-21.0481
3760,374000,-17.7324
3780,376000,-23.528
3800,378000,-21.2524
3820,380000,-20.2877
3840,382000,-20.6419
3860,384000,-22.2718
3880,386000,-20.4602
3900,388000,-24.644
3921,390000,-21.1674
3941,392000,-22.6199
3961,394000,-23.837
3981,396000,-21.7451
4002,398000,-20.6058
4022,400000,-20.7965
4043,402000,-22.5945
4063,404000,-23.8784
4083,406000,-21.0388
4103,408000,-22.699
4123,410000,-24.8147
4143,412000,-21.7557
4163,414000,-22.7325
4183,416000,-22.2673
4204,418000,-21.0074
4224,420000,-22.5453
4244,422000,-23.5678
4264,424000,-23.0125
4285,426000,-21.3075
4305,428000,-21.5771
4326,430000,-18.4039
4346,432000,-21.3216
4366,434000,-24.4147
4387,436000,-21.176
4407,438000,-21.3091
4427,440000,-22.3183
4447,442000,-22.4316
4467,444000,-20.8632
4487,446000,-19.7207
4507,448000,-21.1088
4527,450000,-23.069
4547,452000,-23.3633
4567,454000,-20.0264
4588,456000,-23.1845
4608,458000,-21.9609
4628,460000,-22.0028
4648,462000,-22.9088
4668,464000,-22.2802
4688,466000,-19.8049
4709,468000,-22.4939
4729,470000,-22.1706
4750,472000,-20.0244
4770,474000,-21.9396
4790,476000,-23.4097
4810,478000,-21.4232
4831,480000,-21.3821
4851,482000,-21.0336
4871,484000,-22.7686
4892,486000,-21.3319
4912,488000,-22.7847
4932,490000,-22.7448
4952,492000,-22.2465
4972,494000,-22.7043
4992,496000,-22.301
5012,498000,-23.0004
5032,500000,-23.1817
5052,502000,-20.4934
5072,504000,-22.34
5093,506000,-23.491
5113,508000,-20.7577
5133,510000,-25.0568
5153,512000,-20.9738
5173,514000,-21.6682
5194,516000,-21.5106
5214,518000,-21.7568
5234,520000,-21.0733
5254,522000,-21.2679
5274,524000,-21.574
5294,526000,-21.6069
5315,528000,-22.2546
5335,530000,-23.7796
5355,532000,-23.6592
5375,534000,-21.2062
5395,536000,-22.1518
5415,538000,-20.3208
5435,540000,-22.3268
5455,542000,-20.1181
5475,544000,-19.6749
5496,546000,-21.5695
5516,548000,-21.4035
5536,550000,-23.3041
5556,552000,-21.8985
5576,554000,-24.2571
5597,556000,-19.7928
5617,558000,-20.1427
5638,560000,-22.9225
5658,562000,-20.7064
5678,564000,-20.8377
5698,566000,-22.427
5718,568000,-22.6413
5739,570000,-20.8588
5759,572000,-21.8277
5779,574000,-21.846
5799,576000,-23.2107
5819,578000,-22.2026
5839,580000,-21.7653
5859,582000,-22.4594
5880,584000,-19.901
5900,586000,-21.4056
5920,588000,-22.3752
5941,590000,-20.4675
5961,592000,-22.8156
5981,594000,-21.7982
6001,596000,-19.5121
6022,598000,-22.3659
6042,600000,-22.2393
6062,602000,-20.7747
6082,604000,-21.8354
6102,606000,-18.0151
6123,608000,-20.3324
6143,610000,-22.1725
6163,612000,-20.711
6183,614000,-21.9415
6203,616000,-21.9636
6223,618000,-21.869
6244,620000,-22.3658
6264,622000,-23.1244
6285,624000,-19.383
6305,626000,-19.6436
6326,628000,-21.3719
6346,630000,-20.7663
6367,632000,-19.3518
6387,634000,-22.0182
6408,636000,-22.3664
6428,638000,-23.0588
6448,640000,-22.0488
6468,642000,-20.3677
6488,644000,-21.4307
6509,646000,-19.5244
6529,648000,-21.8781
6549,650000,-21.5997
6570,652000,-19.3116
6591,654000,-22.0869
6611,656000,-23.0069
6631,658000,-22.3148
6651,660000,-24.0909
6671,662000,-22.6277
6692,664000,-20.2814
6713,666000,-18.9705
6733,668000,-22.842
6753,670000,-22.0152
6773,672000,-20.0831
6793,674000,-22.637
6813,676000,-20.7126
6834,678000,-20.6479
6854,680000,-22.5953
6874,682000,-20.9242
6894,684000,-22.7069
6915,686000,-19.7563
6935,688000,-19.9807
6956,690000,-22.5257
6976,692000,-21.1952
6996,694000,-21.2607
7016,696000,-25.1325
7036,698000,-23.0456
7056,700000,-20.7281
7076,702000,-20.7216
7097,704000,-21.0171
7117,706000,-24.4743
7137,708000,-23.6115
7157,710000,-19.0765
7177,712000,-21.2193
7197,714000,-21.7159
7218,716000,-21.7454
7238,718000,-21.9286
7258,720000,-20.9126
7279,722000,-18.5579
7299,724000,-19.7531
7319,726000,-21.4686
7339,728000,-20.8
7359,730000,-21.4941
7379,732000,-23.0477
7399,734000,-21.6142
7420,736000,-21.4944
7440,738000,-20.4888
7460,740000,-21.3098
7480,742000,-23.4805
7501,744000,-22.4777
7521,746000,-20.6476
7541,748000,-21.4297
7562,750000,-20.7619
7582,752000,-22.7989
7603,754000,-20.8153
7623,756000,-22.544
7643,758000,-22.9163
7663,760000,-25.4637
7684,762000,-21.4715
7704,764000,-21.671
7724,766000,-20.5613
7744,768000,-19.884
7764,770000,-23.2811
7785,772000,-22.433
7805,774000,-21.0934
7825,776000,-22.7364
7846,778000,-19.3977
7866,780000,-21.1238
7886,782000,-22.4502
7906,784000,-21.0031
7926,786000,-22.9782
7946,788000,-24.4655
7967,790000,-18.8181
7987,792000,-21.6474
8007,794000,-20.6924
8027,796000,-20.8823
8047,798000,-21.6075
8067,800000,-18.9553
8087,802000,-22.1335
8107,804000,-23.5886
8128,806000,-20.8854
8148,808000,-21.0714
8168,810000,-21.8883
8188,812000,-21.3747
8208,814000,-21.2186
8229,816000,-21.1119
8249,818000,-21.825
8269,820000,-21.3117
8289,822000,-21.4368
8309,824000,-21.8057
8329,826000,-21.1703
8349,828000,-22.98
8369,830000,-20.6924
8389,832000,-19.4623
8410,834000,-21.3554
8430,836000,-19.6773
8450,838000,-20.8494
8471,840000,-20.338
8491,842000,-22.0168
8511,844000,-20.508
8531,846000,-22.9335
8552,848000,-21.9434
8572,850000,-20.6126
8592,852000,-21.1866
8612,854000,-19.5398
8633,856000,-19.9467
8653,858000,-21.5718
8673,860000,-21.5988
8693,862000,-21.3997
8714,864000,-19.9178
8734,866000,-22.1705
8754,868000,-21.2843
8774,870000,-21.9734
8794,872000,-22.6002
8814,874000,-22.3546
8834,876000,-21.4885
8854,878000,-22.3365
8874,880000,-17.9732
8894,882000,-22.2636
8915,884000,-20.4601
8935,886000,-21.6228
8955,888000,-22.8798
8975,890000,-21.7075
8996,892000,-19.2646
9016,894000,-21.4555
9036,896000,-20.9074
9056,898000,-21.0919
9076,900000,-20.7325
9096,902000,-22.2164
9116,904000,-19.2315
9136,906000,-20.2553
