episode,timestep,reward
1,2000,-1220.3701
3,4000,-1299.7304
5,6000,-1439.9713
7,8000,-1615.1389
9,10000,-2245.763
11,12000,-2947.0924
13,14000,-2717.9499
15,16000,-2411.3187
17,18000,-2986.9388
19,20000,-3396.6954
21,22000,-2618.121
23,24000,-1777.0037
25,26000,-2161.0455
27,28000,-2917.8764
29,30000,-3389.497
31,32000,-3976.7226
33,34000,-3931.9191
35,36000,-3974.6122
37,38000,-3098.5685
39,40000,-2200.2642
41,42000,-2536.7857
43,44000,-2650.3849
45,46000,-2792.4751
47,48000,-2960.0738
49,50000,-3314.4633
51,52000,-3072.1415
53,54000,-3385.3717
55,56000,-3369.9559
57,58000,-3099.099
59,60000,-2690.0948
61,62000,-2766.8064
63,64000,-2877.9729
65,66000,-2932.5013
67,68000,-3205.6957
69,70000,-2854.1217
71,72000,-2581.0571
73,74000,-3431.3245
75,76000,-4213.5752
77,78000,-4167.212
79,80000,-4159.103
81,82000,-4272.0483
83,84000,-4179.4962
85,86000,-4162.786
87,88000,-4226.9936
89,90000,-4191.9611
91,92000,-4200.8191
93,94000,-4296.5199
95,96000,-4348.3975
97,98000,-4136.7265
99,100000,-4156.7159
101,102000,-4216.7651
103,104000,-4250.5472
105,106000,-4300.9475
107,108000,-4251.6152
109,110000,-4304.8016
111,112000,-4247.548
113,114000,-4146.583
115,116000,-4117.1241
117,118000,-4117.4854
119,120000,-4080.9799
121,122000,-4197.7695
123,124000,-4246.4006
125,126000,-4239.2632
127,128000,-4251.2769
129,130000,-4177.6311
131,132000,-4094.3462
133,134000,-4280.3012
135,136000,-4140.3566
137,138000,-4134.5756
139,140000,-4224.4721
141,142000,-4136.7651
143,144000,-4261.1089
145,146000,-4166.7995
147,148000,-4232.1182
149,150000,-4131.1794
151,152000,-4330.9994
153,154000,-4195.0241
155,156000,-4259.1471
157,158000,-4177.4163
159,160000,-4240.8212
161,162000,-4294.2173
163,164000,-4171.9233
165,166000,-4278.4093
167,168000,-4242.6769
169,170000,-4249.0468
171,172000,-4198.2488
173,174000,-4307.4329
175,176000,-4227.1914
177,178000,-4241.8058
179,180000,-4139.7191
181,182000,-4198.2352
183,184000,-4220.8215
185,186000,-4223.3319
187,188000,-4151.7159
189,190000,-4175.3587
191,192000,-4356.5161
193,194000,-4215.3882
